,,,,,GA4 - GM TRACKER,,,AD GROUP - ADHOC,,,,,,,,,,,,,,,,,Year,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
Brand or Non-Brand,Tenant or Landlord,Year,Month,Month_name,Spend,New Properties,Booking Requests,Spend,New Properties,Booking Requests,,,Year,Month,,Brand or Non-Brand,Spend,New Properties,Booking Requests,,,,,,Month,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
SEM Brand,Landlord,2023,7,Jul,0,0,0,16604.05,2744,12960,,,2023,Jul,2023-Jul,SEM Brand," $16,604.05 ",2744,12960,,,,,Paid Channels - Monthly - Spend,Brand or Non-Brand,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep
SEM Brand,Landlord,2023,8,Aug,0,0,0,15776.35,3308,15613,,,2023,Aug,2023-Aug,SEM Brand," $15,776.35 ",3308,15613,,,,,,SEM Brand," $16,604 "," $15,776 "," $13,126 "," $13,784 "," $14,965 "," $15,879 "," $27,517 "," $21,321 "," $31,290 "," $28,576 "," $48,638 "," $51,211 "," $122,720 "," $158,651 "," $188,261 "
SEM Brand,Landlord,2023,9,Sep,0,0,0,13125.84,2968,12782,,,2023,Sep,2023-Sep,SEM Brand," $13,125.84 ",2968,12782,,,,,,SEM Non-Brand Landlord," $518,640 "," $537,938 "," $501,971 "," $522,913 "," $421,172 "," $361,009 "," $693,280 "," $604,328 "," $468,211 "," $466,394 "," $583,883 "," $447,576 "," $346,531 "," $232,071 "," $181,536 "
SEM Brand,Landlord,2023,10,Oct,0,0,0,13783.67,2953,14237,,,2023,Oct,2023-Oct,SEM Brand," $13,783.67 ",2953,14237,,,,,,SEM Non-Brand - Tenant Tenant," $74,511 "," $70,954 "," $69,757 "," $68,437 "," $72,159 "," $31,201 ", $-   , $-   , $-   , $-   ," $25,360 "," $13,264 "," $5,246 "," $53,051 "," $95,935 "
SEM Brand,Landlord,2023,11,Nov,0,0,0,14964.64,2743,9896,,,2023,Nov,2023-Nov,SEM Brand," $14,964.64 ",2743,9896,,,,,,Paid Social + Display Tenant, $445 , $775 ," $9,729 "," $16,311 "," $8,090 "," $4,021 "," $1,304 ", $728 , $780 , $749 , $772 , $754 , $776 ," $12,875 "," $25,235 "
SEM Brand,Landlord,2023,12,Dec,5802.63,516,1897,10076.5,1832,7581,,,2023,Dec,2023-Dec,SEM Brand," $15,879.13 ",2348,9478,,,,,,Paid Social + Display Landlord," $77,766 "," $85,445 "," $84,033 "," $86,628 "," $126,139 "," $324,844 "," $118,528 "," $63,921 "," $114,211 "," $110,205 "," $107,315 "," $84,740 "," $142,872 "," $142,708 "," $131,694 "
SEM Brand,Landlord,2024,1,Jan,27517.27,2402,11050,0,140,782,,,2024,Jan,2024-Jan,SEM Brand," $27,517.27 ",2542,11832,,,,,,,,,,,,,,,,,,,,,
SEM Brand,Landlord,2024,2,Feb,21321.41,2155,12722,0,0,0,,,2024,Feb,2024-Feb,SEM Brand," $21,321.41 ",2155,12722,,,,,,,,,,,,,,,,,,,,,
SEM Brand,Landlord,2024,3,Mar,31289.85,2458,18080,0,0,0,,,2024,Mar,2024-Mar,SEM Brand," $31,289.85 ",2458,18080,,,,,,Year,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
SEM Brand,Landlord,2024,4,Apr,28576.08,2548,21142,0,0,0,,,2024,Apr,2024-Apr,SEM Brand," $28,576.08 ",2548,21142,,,,,,Month,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
SEM Brand,Landlord,2024,5,May,48638.18382,2114,16469,0,0,0,,,2024,May,2024-May,SEM Brand," $48,638.18 ",2114,16469,,,,,Paid Channels - Monthly - New Properties,Brand or Non-Brand,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep
SEM Brand,Landlord,2024,6,Jun,51210.50282,2017,16334,0,0,0,,,2024,Jun,2024-Jun,SEM Brand," $51,210.50 ",2017,16334,,,,,,SEM Brand," 2,744 "," 3,308 "," 2,968 "," 2,953 "," 2,743 "," 2,348 "," 2,542 "," 2,155 "," 2,458 "," 2,548 "," 2,114 "," 2,017 "," 2,832 "," 3,399 "," 3,477 "
SEM Brand,Landlord,2024,7,Jul,122720.27,2832,17112,0,0,0,,,2024,Jul,2024-Jul,SEM Brand," $122,720.27 ",2832,17112,,,,,,SEM Non-Brand Landlord, 877 ," 1,038 "," 1,077 "," 1,037 ", 931 , 852 ," 1,202 ", 831 , 899 ," 1,016 ", 713 , 740 , 924 ," 1,034 ", 899 
