Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value
20230101,google,cpc,Furnished Apartments,DESKTOP,0,0,0,0,0,0,0,0,0,0,2090,4559.0,293,273.91,0,0,0
20230101,google,cpc,Furnished Apartments,MOBILE,0,0,0,0,0,0,0,0,0,0,6635,10604.0,1321,1239.18,0,0,0
20230101,google,cpc,Furnished Apartments,TABLET,0,0,0,0,0,0,0,0,0,0,378,531.0,71,68.23,0,0,0
20230101,google,cpc,Furnished Finder,DESKTOP,0,0,0,0,0,0,0,0,0,0,2883,3729.0,1298,443.82,0,0,0
20230101,google,cpc,Furnished Finder,MOBILE,0,0,0,0,0,0,0,0,0,0,5991,6993.0,3115,1300.18,0,0,0
20230101,google,cpc,Furnished Finder,TABLET,0,0,0,0,0,0,0,0,0,0,195,210.0,107,45.63,0,0,0
20230101,google,cpc,Furnished Monthly Rentals,DESKTOP,0,0,0,0,0,0,0,0,0,0,1784,6342.0,153,168.59,0,0,0
20230101,google,cpc,Furnished Monthly Rentals,MOBILE,0,0,0,0,0,0,0,0,0,0,6738,19042.0,968,898.21,0,0,0
20230101,google,cpc,Furnished Monthly Rentals,TABLET,0,0,0,0,0,0,0,0,0,0,486,1379.0,57,54.86,0,0,0
20230101,google,cpc,Room Rental,DESKTOP,0,0,0,0,0,0,0,0,0,0,439,508.0,48,196.06,0,0,0
20230101,google,cpc,Room Rental,MOBILE,0,0,0,0,0,0,0,0,0,0,1042,1189.0,119,475.2,0,0,0
20230101,google,cpc,Room Rental,TABLET,0,0,0,0,0,0,0,0,0,0,26,28.0,2,5.99,0,0,0
20230101,google,cpc,TNH -  Property owners,DESKTOP,0,0,0,0,0,0,0,0,0,0,2233,7345.705134992059,316,1227.6299999999999,0,0,0
20230101,google,cpc,TNH -  Property owners,MOBILE,0,0,0,0,0,0,0,0,0,0,10005,29916.035476945097,1094,4135.68,0,0,0
20230101,google,cpc,TNH -  Property owners,TABLET,0,0,0,0,0,0,0,0,0,0,234,470.0,27,103.46,0,0,0
20230101,google,cpc,TNH - Alternative To BNB,DESKTOP,0,0,0,0,0,0,0,0,0,0,3,5.0,0,0.0,0,0,0
20230101,google,cpc,TNH - Alternative To BNB,MOBILE,0,0,0,0,0,0,0,0,0,0,2,4.0,0,0.0,0,0,0
20230101,google,cpc,TNH - Rentals,DESKTOP,0,0,0,0,0,0,0,0,0,0,29,42.0,7,25.49,0,0,0
20230101,google,cpc,TNH - Rentals,MOBILE,0,0,0,0,0,0,0,0,0,0,96,122.0,14,47.7,0,0,0
20230101,google,cpc,TNH_Re-Marketing,DESKTOP,0,0,0,0,0,0,0,0,0,0,950,950.0,5,1.281448,0,0,0
20230101,google,cpc,TNH_Re-Marketing,MOBILE,0,0,0,0,0,0,0,0,0,0,1152,1152.0,11,3.225763,0,0,0
20230101,google,cpc,TNH_Re-Marketing,TABLET,0,0,0,0,0,0,0,0,0,0,211,211.0,1,0.323488,0,0,0
20230101,google,cpc,Travel Nurse Agencies - OLD - DO NOT USE,DESKTOP,0,0,0,0,0,0,0,0,0,0,127,792.0,35,67.73,0,0,0
20230101,google,cpc,Travel Nurse Agencies - OLD - DO NOT USE,MOBILE,0,0,0,0,0,0,0,0,0,0,377,2767.0,62,148.89,0,0,0
20230101,google,cpc,Travel Nurse Agencies - OLD - DO NOT USE,TABLET,0,0,0,0,0,0,0,0,0,0,6,18.0,1,1.59,0,0,0
20230101,google,cpc,Travel Nurse Jobs - OLD - DO NOT USE,DESKTOP,0,0,0,0,0,0,0,0,0,0,15,15.0,5,5.04,0,0,0
20230101,google,cpc,Travel Nurse Jobs - OLD - DO NOT USE,MOBILE,0,0,0,0,0,0,0,0,0,0,275,284.01001001001003,23,23.89,0,0,0
20230101,google,cpc,Travel Nurse Jobs - OLD - DO NOT USE,TABLET,0,0,0,0,0,0,0,0,0,0,18,18.0,1,1.03,0,0,0
20230102,google,cpc,Furnished Apartments,DESKTOP,0,0,0,0,0,0,0,0,0,0,3137,6543.0,493,445.11,0,0,0
20230102,google,cpc,Furnished Apartments,MOBILE,0,0,0,0,0,0,0,0,0,0,8136,13066.0,1570,1449.79,0,0,0
20230102,google,cpc,Furnished Apartments,TABLET,0,0,0,0,0,0,0,0,0,0,457,632.0,71,64.84,0,0,0
20230102,google,cpc,Furnished Finder,DESKTOP,0,0,0,0,0,0,0,0,0,0,4433,5750.0,2144,778.1,0,0,0
20230102,google,cpc,Furnished Finder,MOBILE,0,0,0,0,0,0,0,0,0,0,7929,9292.0,4208,1618.09,0,0,0
20230102,google,cpc,Furnished Finder,TABLET,0,0,0,0,0,0,0,0,0,0,275,307.0,124,47.019999999999996,0,0,0
20230102,google,cpc,Furnished Monthly Rentals,DESKTOP,0,0,0,0,0,0,0,0,0,0,2628,7725.0,256,298.09,0,0,0
20230102,google,cpc,Furnished Monthly Rentals,MOBILE,0,0,0,0,0,0,0,0,0,0,7474,21146.0,1148,1095.28,0,0,0
20230102,google,cpc,Furnished Monthly Rentals,TABLET,0,0,0,0,0,0,0,0,0,0,505,1519.0,57,50.98,0,0,0
20230102,google,cpc,Room Rental,DESKTOP,0,0,0,0,0,0,0,0,0,0,679,782.0,66,297.43,0,0,0
20230102,google,cpc,Room Rental,MOBILE,0,0,0,0,0,0,0,0,0,0,1288,1453.0,184,717.5999999999999,0,0,0
20230102,google,cpc,Room Rental,TABLET,0,0,0,0,0,0,0,0,0,0,43,44.0,7,30.1,0,0,0
20230102,google,cpc,TNH -  Property owners,DESKTOP,0,0,0,0,0,0,0,0,0,0,3271,10615.221629313412,519,1986.77,0,0,0
20230102,google,cpc,TNH -  Property owners,MOBILE,0,0,0,0,0,0,0,0,0,0,12958,40211.357748280825,1399,5212.28,0,0,0
20230102,google,cpc,TNH -  Property owners,TABLET,0,0,0,0,0,0,0,0,0,0,219,568.0,43,163.24,0,0,0
20230102,google,cpc,TNH - Alternative To BNB,DESKTOP,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0
20230102,google,cpc,TNH - Alternative To BNB,MOBILE,0,0,0,0,0,0,0,0,0,0,2,3.0,0,0.0,0,0,0
20230102,google,cpc,TNH - Rentals,DESKTOP,0,0,0,0,0,0,0,0,0,0,49,67.0,5,18.94,0,0,0
